aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardo_alto,cause_maggiori
CIU,11,37,2,1,['Weather (179 min)', 'Carrier (62 min)', 'NAS (27 min)']
CKB,1,8,0,1,['NAS (1235 min)', 'Carrier (0 min)', 'Weather (0 min)']
CKB,3,9,2,2,['Late Aircraft (130 min)', 'NAS (88 min)', 'Carrier (11 min)']
CKB,7,10,7,3,['Carrier (764 min)', 'Late Aircraft (593 min)', 'NAS (66 min)']
CLE,6,2079,349,258,['Late Aircraft (19918 min)', 'Carrier (18071 min)', 'NAS (11112 min)']
CLE,7,2031,391,295,['Late Aircraft (24592 min)', 'Carrier (20473 min)', 'NAS (15820 min)']
CLL,5,45,7,10,['Carrier (1608 min)', 'Weather (407 min)', 'NAS (233 min)']
CLL,7,43,14,10,['Late Aircraft (764 min)', 'Carrier (379 min)', 'NAS (255 min)']
CLL,8,55,9,3,['Late Aircraft (446 min)', 'NAS (146 min)', 'Carrier (22 min)']
CLT,5,8981,3001,2093,['Late Aircraft (195575 min)', 'Carrier (125823 min)', 'NAS (71953 min)']
CLT,8,9355,2675,1841,['Late Aircraft (156362 min)', 'Carrier (103592 min)', 'NAS (45448 min)']
CMH,3,2031,298,155,['Late Aircraft (12779 min)', 'NAS (8719 min)', 'Carrier (7795 min)']
CMH,11,2308,194,92,['Late Aircraft (5869 min)', 'Carrier (5857 min)', 'NAS (5274 min)']
CMI,11,51,5,4,['Late Aircraft (717 min)', 'NAS (106 min)', 'Weather (103 min)']
CMX,2,28,2,2,['Carrier (196 min)', 'NAS (63 min)', 'Weather (0 min)']
CMX,9,37,10,4,['Late Aircraft (659 min)', 'Carrier (367 min)', 'NAS (34 min)']
CMX,10,40,6,1,['Carrier (258 min)', 'Late Aircraft (152 min)', 'NAS (19 min)']
COD,7,65,11,7,['Late Aircraft (1157 min)', 'Weather (273 min)', 'Carrier (184 min)']
COD,10,37,5,1,['Carrier (137 min)', 'NAS (47 min)', 'Weather (28 min)']
COS,1,580,81,45,['Late Aircraft (4970 min)', 'Carrier (3218 min)', 'NAS (2088 min)']
COS,3,593,73,36,['Late Aircraft (2932 min)', 'Carrier (2085 min)', 'NAS (1906 min)']
COS,6,717,108,52,['Late Aircraft (3897 min)', 'Carrier (3083 min)', 'NAS (2268 min)']
COS,9,652,86,35,['Carrier (4125 min)', 'Late Aircraft (2706 min)', 'NAS (664 min)']
COS,12,609,91,32,['Late Aircraft (3540 min)', 'Carrier (2698 min)', 'NAS (1255 min)']
COU,2,80,9,2,['Late Aircraft (246 min)', 'NAS (152 min)', 'Carrier (70 min)']
COU,9,77,14,5,['Late Aircraft (908 min)', 'Carrier (201 min)', 'NAS (152 min)']
COU,10,99,11,3,['Carrier (364 min)', 'Late Aircraft (262 min)', 'NAS (155 min)']
COU,11,69,18,3,['Weather (1038 min)', 'Carrier (317 min)', 'NAS (199 min)']
CPR,4,19,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
CPR,6,110,28,15,['Carrier (1601 min)', 'Late Aircraft (545 min)', 'NAS (480 min)']
CPR,7,148,15,11,['Carrier (1178 min)', 'Late Aircraft (505 min)', 'NAS (399 min)']
CPR,10,126,12,7,['Carrier (1426 min)', 'Weather (367 min)', 'Late Aircraft (315 min)']
CRP,5,157,33,42,['Late Aircraft (3925 min)', 'Weather (1893 min)', 'NAS (1797 min)']
CRP,9,217,13,6,['Carrier (414 min)', 'NAS (314 min)', 'Late Aircraft (265 min)']
CRP,10,235,20,4,['Late Aircraft (444 min)', 'NAS (317 min)', 'Carrier (176 min)']
CRW,1,123,29,32,['Weather (3332 min)', 'Carrier (3050 min)', 'NAS (1680 min)']
CRW,7,139,29,42,['Carrier (4539 min)', 'Late Aircraft (2229 min)', 'NAS (1031 min)']
CRW,8,161,30,23,['Carrier (1660 min)', 'Late Aircraft (1478 min)', 'Weather (689 min)']
CRW,9,172,17,29,['Carrier (2410 min)', 'Late Aircraft (2370 min)', 'Weather (635 min)']
CRW,10,212,18,14,['Carrier (1916 min)', 'Late Aircraft (634 min)', 'NAS (406 min)']
CSG,4,54,3,5,['Carrier (659 min)', 'NAS (15 min)', 'Weather (0 min)']
CVG,1,1721,232,174,['Late Aircraft (14596 min)', 'NAS (10278 min)', 'Carrier (9413 min)']
CVG,5,2142,370,227,['Late Aircraft (19563 min)', 'NAS (15442 min)', 'Carrier (12293 min)']
CVG,7,1916,376,327,['Carrier (26435 min)', 'Late Aircraft (23875 min)', 'NAS (13002 min)']
CWA,1,38,0,5,['Late Aircraft (465 min)', 'Carrier (371 min)', 'NAS (25 min)']
CWA,9,34,1,0,['NAS (35 min)', 'Carrier (0 min)', 'Weather (0 min)']
CWA,12,27,6,4,['Late Aircraft (336 min)', 'Weather (259 min)', 'Carrier (67 min)']
CYS,9,40,1,4,['Late Aircraft (394 min)', 'Carrier (288 min)', 'NAS (11 min)']
CYS,10,42,1,4,['Late Aircraft (260 min)', 'Carrier (259 min)', 'Weather (37 min)']
DAB,4,170,9,9,['Late Aircraft (1957 min)', 'Carrier (316 min)', 'NAS (78 min)']
DAB,5,149,29,21,['Late Aircraft (1562 min)', 'Carrier (1154 min)', 'NAS (434 min)']
DAB,7,128,23,21,['Late Aircraft (2685 min)', 'Carrier (1530 min)', 'NAS (738 min)']
DAB,9,129,18,12,['Late Aircraft (1074 min)', 'Carrier (432 min)', 'Weather (404 min)']
DAL,3,3409,932,309,['Late Aircraft (29224 min)', 'Carrier (14951 min)', 'NAS (11508 min)']
DAL,8,3407,693,226,['Late Aircraft (19323 min)', 'Carrier (13774 min)', 'NAS (7973 min)']
DAL,12,3350,832,479,['Late Aircraft (59200 min)', 'Carrier (17695 min)', 'NAS (9014 min)']
DAY,2,322,28,24,['Carrier (2967 min)', 'Late Aircraft (1374 min)', 'NAS (619 min)']
DAY,10,401,17,17,['Carrier (1818 min)', 'Late Aircraft (1804 min)', 'NAS (249 min)']
DAY,11,376,29,18,['Late Aircraft (1456 min)', 'Carrier (1417 min)', 'NAS (508 min)']
DCA,4,6748,985,621,['Late Aircraft (63287 min)', 'Carrier (33255 min)', 'NAS (22880 min)']
DCA,8,6284,1193,931,['Late Aircraft (88889 min)', 'Carrier (52954 min)', 'NAS (40283 min)']
DCA,9,7094,761,393,['Late Aircraft (43283 min)', 'Carrier (23213 min)', 'NAS (16653 min)']
DCA,11,6988,782,383,['Late Aircraft (33088 min)', 'Carrier (24074 min)', 'NAS (13314 min)']
DDC,5,28,3,4,['Late Aircraft (1142 min)', 'Carrier (220 min)', 'NAS (166 min)']
DDC,6,32,8,2,['Late Aircraft (1248 min)', 'NAS (327 min)', 'Carrier (133 min)']
DDC,9,35,4,3,['Carrier (1782 min)', 'Late Aircraft (146 min)', 'Weather (0 min)']
DEC,3,45,4,6,['Carrier (1317 min)', 'Weather (334 min)', 'Late Aircraft (278 min)']
DEC,8,22,6,6,['Carrier (830 min)', 'Late Aircraft (668 min)', 'NAS (206 min)']
DEC,10,40,1,0,['NAS (23 min)', 'Late Aircraft (23 min)', 'Carrier (0 min)']
DEN,1,11551,3262,1400,['Late Aircraft (108686 min)', 'Carrier (98588 min)', 'NAS (38939 min)']
DEN,2,12034,2591,1183,['Late Aircraft (93982 min)', 'Carrier (80742 min)', 'NAS (69769 min)']
DEN,4,14059,2969,1148,['Late Aircraft (98855 min)', 'Carrier (80454 min)', 'NAS (52204 min)']
DFW,6,12730,4473,2879,['Late Aircraft (262132 min)', 'Carrier (169551 min)', 'NAS (64276 min)']
DFW,10,16778,2667,1084,['Carrier (88544 min)', 'Late Aircraft (81322 min)', 'NAS (20272 min)']
DHN,10,45,4,2,['Carrier (307 min)', 'Late Aircraft (99 min)', 'NAS (42 min)']
DIK,5,36,1,3,['Carrier (490 min)', 'NAS (378 min)', 'Weather (0 min)']
DIK,6,29,2,2,['Carrier (1250 min)', 'Late Aircraft (117 min)', 'NAS (69 min)']
DIK,7,34,1,2,['Carrier (593 min)', 'Late Aircraft (27 min)', 'Weather (0 min)']
DIK,9,33,0,2,['Carrier (441 min)', 'Weather (122 min)', 'NAS (41 min)']
DIK,12,32,2,5,['Late Aircraft (638 min)', 'Carrier (388 min)', 'NAS (25 min)']
DLH,1,73,15,19,['Carrier (2694 min)', 'Weather (715 min)', 'Late Aircraft (604 min)']
DLH,2,80,6,2,['Carrier (396 min)', 'Weather (85 min)', 'Late Aircraft (36 min)']
DLH,5,109,6,18,['Weather (1117 min)', 'NAS (742 min)', 'Late Aircraft (621 min)']
DLH,8,130,25,14,['Late Aircraft (1219 min)', 'NAS (755 min)', 'Carrier (613 min)']
DLH,11,115,8,6,['Carrier (563 min)', 'Weather (282 min)', 'NAS (46 min)']
DRO,4,146,11,13,['Carrier (1539 min)', 'Late Aircraft (649 min)', 'NAS (439 min)']
DRO,5,163,18,19,['Carrier (2077 min)', 'Late Aircraft (759 min)', 'NAS (611 min)']
DRO,12,205,17,10,['Carrier (819 min)', 'Late Aircraft (425 min)', 'Weather (241 min)']
DSM,2,688,69,56,['Carrier (5271 min)', 'Late Aircraft (3309 min)', 'NAS (3269 min)']
DTW,4,6659,777,426,['Carrier (41861 min)', 'NAS (20311 min)', 'Late Aircraft (17708 min)']
DTW,9,7221,687,311,['Carrier (35034 min)', 'NAS (10359 min)', 'Late Aircraft (9502 min)']
DTW,10,7436,778,353,['Carrier (41416 min)', 'Late Aircraft (10445 min)', 'NAS (8330 min)']
DVL,9,38,3,3,['Carrier (194 min)', 'Late Aircraft (102 min)', 'Weather (94 min)']
ECP,2,311,17,11,['Late Aircraft (1063 min)', 'Carrier (438 min)', 'NAS (206 min)']
ECP,8,509,73,37,['Late Aircraft (4667 min)', 'Carrier (1961 min)', 'NAS (843 min)']
ECP,10,415,52,10,['Carrier (2108 min)', 'Late Aircraft (1450 min)', 'NAS (310 min)']
EGE,2,336,61,31,['Carrier (4565 min)', 'Late Aircraft (3591 min)', 'NAS (1580 min)']
EGE,3,356,57,58,['Late Aircraft (8594 min)', 'Carrier (4788 min)', 'NAS (2916 min)']
EGE,8,120,19,23,['Late Aircraft (3698 min)', 'Carrier (748 min)', 'NAS (389 min)']
EGE,10,66,9,2,['Carrier (469 min)', 'Late Aircraft (157 min)', 'NAS (31 min)']
