ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
BOI,AS,466,4.86,4.81,0.64,-1.98,1
BOI,OO,8328,5.12,3.85,0.36,-1.72,2
BOI,WN,3544,6.63,0.19,0.31,-0.21,3
BOI,MQ,213,7.09,3.04,0.47,0.25,4
BOI,UA,1006,7.61,3.01,1.49,0.77,5
BOI,NK,393,8.22,4.22,2.04,1.38,6
BOI,DL,2042,9.06,3.49,1.03,2.22,7
BOI,AA,648,12.33,8.21,1.39,5.49,8
BOI,G4,258,32.42,31.5,1.16,25.58,9
BOS,9E,5,-3.4,-16.0,0.00,-16.82,1
BOS,YX,18896,4.5,0.44,1.70,-8.92,2
BOS,G4,343,6.08,1.62,3.50,-7.34,3
BOS,UA,8685,11.54,5.68,1.78,-1.88,4
BOS,MQ,1339,13.66,8.1,1.72,0.24,5
BOS,WN,4871,13.91,5.06,0.90,0.49,6
BOS,AS,1761,14.03,9.47,1.82,0.61,7
BOS,HA,156,14.05,11.95,0.64,0.63,8
BOS,DL,17441,14.08,6.64,1.06,0.66,9
BOS,B6,28920,16.18,10.64,1.49,2.76,10
BOS,AA,11405,16.87,9.51,1.56,3.45,11
BOS,F9,1082,18.55,16.15,2.68,5.13,12
BOS,NK,4918,23.25,15.99,3.48,9.83,13
BPT,OO,370,5.81,1.27,2.43,-3.43,1
BPT,MQ,151,17.6,13.57,1.99,8.36,2
BQK,9E,105,8.61,9.47,0.00,-8.34,1
BQK,OO,502,18.7,20.54,0.40,1.75,2
BQN,B6,1157,15.71,12.65,1.47,-3.48,1
BQN,F9,331,26.12,16.86,1.21,6.93,2
BQN,UA,250,26.23,17.87,3.20,7.04,3
BRD,OO,456,11.28,7.57,0.66,0.0,1
BRO,MQ,909,5.82,3.75,1.43,-3.33,1
BRO,OO,526,15.0,12.02,3.23,5.85,2
BRW,AS,277,7.85,9.49,4.69,0.0,1
BTM,OO,383,1.47,-4.6,0.00,0.0,1
BTR,DL,661,7.05,0.44,1.21,-5.81,1
BTR,9E,367,9.02,4.97,1.91,-3.84,2
BTR,MQ,746,13.38,11.56,2.28,0.52,3
BTR,OO,432,14.37,11.21,3.24,1.51,4
BTR,OH,1426,15.8,12.48,1.75,2.94,5
BTR,UA,4,24.0,24.0,0.00,11.14,6
BTV,B6,4,4.75,2.0,0.00,-6.17,1
BTV,YX,1076,5.33,0.08,2.42,-5.59,2
BTV,DL,340,7.05,1.35,2.06,-3.87,3
BTV,F9,9,7.22,7.67,0.00,-3.7,4
BTV,UA,826,7.62,7.46,1.69,-3.3,5
BTV,MQ,238,10.47,13.19,1.68,-0.45,6
BTV,9E,1262,10.67,3.57,2.93,-0.25,7
BTV,OO,188,12.99,7.39,0.00,2.07,8
BTV,AA,527,15.34,10.16,1.14,4.42,9
BTV,OH,1211,17.33,14.28,2.23,6.41,10
BTV,G4,2,38.0,15.0,50.00,27.08,11
BUF,MQ,363,6.03,2.14,0.83,-5.59,1
BUF,YX,2007,6.56,2.57,3.69,-5.06,2
BUF,9E,1355,9.57,2.07,3.25,-2.05,3
BUF,DL,1567,9.64,2.53,1.08,-1.98,4
BUF,WN,3912,9.83,2.79,1.76,-1.79,5
BUF,UA,749,10.91,9.89,1.87,-0.71,6
BUF,B6,2525,11.35,7.84,2.18,-0.27,7
BUF,OO,571,16.8,11.25,1.93,5.18,8
BUF,AA,1614,17.47,15.42,1.30,5.85,9
BUF,OH,667,18.13,17.69,2.85,6.51,10
BUF,F9,757,24.33,21.07,4.89,12.71,11
BUR,AS,1667,3.89,2.79,2.22,-5.51,1
