aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
SNA,F9,264,11.1,8.71,3.41,-0.15,5
SNA,DL,1151,12.08,4.61,0.61,0.83,6
SNA,OO,992,15.06,16.93,1.01,3.81,7
SNA,AA,1540,19.65,13.37,1.23,8.4,8
SNA,G4,274,28.43,25.41,1.82,17.18,9
SPI,G4,25,32.75,33.46,4.0,0.0,1
SPN,UA,82,-1.51,-5.28,0.0,0.0,1
SPS,OO,130,5.53,1.26,3.08,-2.26,1
SPS,MQ,27,18.73,10.81,3.7,10.94,2
SRQ,UA,396,7.45,3.52,3.28,-6.65,1
SRQ,G4,648,11.72,9.41,3.86,-2.38,2
SRQ,WN,1051,11.78,6.82,4.19,-2.32,3
SRQ,OO,13,12.75,14.92,7.69,-1.35,4
SRQ,DL,758,13.8,10.4,3.43,-0.3,5
SRQ,B6,190,16.35,15.11,2.11,2.25,6
SRQ,AA,699,19.59,17.15,3.86,5.49,7
SRQ,F9,138,21.12,22.1,5.07,7.02,8
SRQ,OH,84,25.36,21.66,3.57,11.26,9
SRQ,YX,49,25.94,27.1,0.0,11.84,10
SRQ,MQ,4,32.25,23.25,0.0,18.15,11
STC,G4,36,13.0,6.43,2.78,0.0,1
STL,AS,182,2.17,0.45,0.55,-9.18,1
STL,DL,1355,4.32,-1.56,0.44,-7.03,2
STL,9E,346,4.58,-1.95,4.34,-6.77,3
STL,OO,146,8.29,1.26,0.0,-3.06,4
STL,YX,488,8.44,3.11,2.25,-2.91,5
STL,MQ,476,8.8,5.43,2.31,-2.55,6
STL,WN,10054,11.65,5.49,0.85,0.3,7
STL,UA,748,13.76,11.02,1.87,2.41,8
STL,AA,1722,13.82,12.01,1.86,2.47,9
STL,NK,97,18.91,13.11,7.22,7.56,10
STL,OH,113,22.19,21.47,1.77,10.84,11
STL,F9,278,31.63,27.71,2.16,20.28,12
STS,AS,90,6.44,5.64,1.11,-3.23,1
STS,OO,753,7.6,8.47,0.66,-2.07,2
STS,MQ,55,9.31,5.22,0.0,-0.36,3
STS,AA,37,59.86,60.64,0.0,50.19,4
STT,UA,189,3.51,0.95,2.65,-19.25,1
STT,F9,13,9.54,28.38,0.0,-13.22,2
STT,NK,255,16.55,12.91,1.18,-6.21,3
STT,B6,160,16.62,12.9,1.88,-6.14,4
STT,DL,204,23.24,20.97,0.49,0.48,5
STT,AA,496,35.25,34.83,0.81,12.49,6
STX,F9,5,5.8,18.6,0.0,-8.66,1
STX,AA,212,12.89,13.36,0.47,-1.57,2
