aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
FLL,DL,8985,16.38,11.14,1.1,-1.11,4
FLL,F9,1181,25.95,24.51,4.1,8.46,10
FLL,G4,2452,17.45,14.95,1.8,-0.04,5
FLL,NK,19038,19.05,14.66,1.6,1.56,8
FLL,UA,5971,13.14,7.95,2.6,-4.35,2
FLL,WN,10603,15.57,10.85,1.4,-1.92,3
FNT,G4,922,11.27,8.03,1.4,-4.87,1
FNT,OO,572,23.97,23.36,1.0,7.83,2
FOD,OO,425,15.98,13.75,2.4,0.0,1
FSD,9E,277,7.61,5.86,0.4,-4.35,3
FSD,AA,469,19.06,12.51,1.5,7.1,7
FSD,DL,491,21.07,16.01,1.8,9.11,9
FSD,F9,181,14.03,15.27,1.1,2.07,6
FSD,G4,647,19.43,15.07,1.2,7.47,8
FSD,MQ,538,11.52,6.28,3.3,-0.44,5
FSD,OO,1801,8.31,4.33,1.0,-3.65,4
FSD,UA,528,3.03,2.3,1.1,-8.93,1
FSD,YX,43,7.26,5.6,0.0,-4.7,2
FSM,MQ,736,11.39,6.78,2.4,-0.76,1
FSM,OO,136,16.31,10.45,2.9,4.16,2
FWA,9E,142,17.74,7.52,2.8,-1.02,3
FWA,G4,595,22.67,19.14,2.4,3.91,5
FWA,MQ,617,11.82,7.0,0.5,-6.94,1
FWA,OH,118,11.97,6.62,0.0,-6.79,2
FWA,OO,1894,20.32,15.68,1.0,1.56,4
GCC,OO,510,12.81,8.07,1.2,0.0,1
GCK,MQ,380,17.97,16.51,1.8,1.11,2
GCK,OO,161,14.18,10.97,3.7,-2.68,1
GEG,AA,1030,21.4,16.14,0.9,14.61,7
GEG,AS,1722,3.42,1.25,1.4,-3.37,1
GEG,DL,2137,8.36,3.06,1.1,1.57,5
GEG,G4,170,15.42,12.49,1.2,8.63,6
GEG,OO,4286,3.86,2.04,0.4,-2.93,2
GEG,UA,611,4.78,-1.7,2.6,-2.01,3
GEG,WN,2763,6.7,0.37,0.1,-0.09,4
GFK,9E,54,21.69,15.33,0.0,11.96,3
GFK,G4,112,16.38,13.96,0.9,6.65,2
GFK,OO,720,7.8,3.7,0.6,-1.93,1
GGG,MQ,165,20.3,16.67,1.2,6.3,2
GGG,OO,360,11.09,7.8,1.9,-2.91,1
GJT,G4,91,16.62,17.68,1.1,5.96,4
GJT,MQ,361,10.24,9.84,0.3,-0.42,2
GJT,OO,1902,10.84,8.47,0.9,0.18,3
GJT,UA,491,9.15,-0.88,1.0,-1.51,1
GNV,9E,92,8.38,1.95,0.0,0.47,3
GNV,DL,1161,5.96,-0.96,1.1,-1.95,1
GNV,MQ,443,7.4,4.1,1.6,-0.51,2
GNV,OH,536,12.62,9.31,4.5,4.71,4
GPT,9E,38,9.21,4.42,0.0,-1.03,3
GPT,DL,879,7.36,1.78,1.5,-2.88,1
GPT,G4,18,27.11,28.78,0.0,16.87,6
GPT,MQ,388,18.66,15.21,3.4,8.42,5
GPT,OH,925,8.97,8.13,0.8,-1.27,2
GPT,OO,255,11.13,9.06,0.8,0.89,4
GRB,9E,47,-6.4,-16.53,0.0,-19.54,1
GRB,DL,258,16.62,10.4,0.4,3.48,5
GRB,F9,67,24.06,23.66,3.0,10.92,6
GRB,MQ,285,10.6,7.44,2.1,-2.54,3
GRB,OO,2247,13.56,9.57,1.6,0.42,4
GRB,YX,130,6.14,4.15,1.5,-7.0,2
GRI,G4,161,22.28,17.76,1.9,0.93,2
GRI,OO,541,21.08,19.09,1.8,-0.27,1
GRK,MQ,976,11.8,8.77,1.2,-0.68,1
GRK,OO,381,14.28,12.33,3.7,1.8,2
GRR,9E,677,4.9,-1.33,4.6,-6.39,2
GRR,AA,1796,18.2,14.81,1.5,6.91,10
GRR,DL,2035,5.81,-1.45,0.9,-5.48,3
GRR,F9,467,39.5,37.23,4.9,28.21,11
GRR,G4,1444,10.71,7.0,1.6,-0.58,6
GRR,MQ,520,13.71,13.34,1.9,2.42,7
GRR,OH,510,14.88,15.02,3.1,3.59,8
GRR,OO,1530,15.25,12.23,1.7,3.96,9
GRR,UA,990,7.54,6.18,1.0,-3.75,4
GRR,WN,1463,9.13,5.32,0.4,-2.16,5
