aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
ACY,5,58,5,2,"['Late Aircraft (214 min)', 'NAS (105 min)', 'Carrier (0 min)']"
ACY,6,49,8,7,"['Carrier (782 min)', 'NAS (315 min)', 'Late Aircraft (233 min)']"
ACY,7,50,7,5,"['Late Aircraft (581 min)', 'Carrier (234 min)', 'NAS (142 min)']"
ACY,8,55,11,7,"['NAS (521 min)', 'Carrier (426 min)', 'Late Aircraft (382 min)']"
ACY,9,43,4,1,"['Carrier (209 min)', 'NAS (71 min)', 'Late Aircraft (35 min)']"
ACY,10,43,6,1,"['Late Aircraft (215 min)', 'NAS (89 min)', 'Carrier (38 min)']"
ACY,11,37,0,3,"['Carrier (521 min)', 'NAS (197 min)', 'Late Aircraft (133 min)']"
ACY,12,42,8,2,"['NAS (204 min)', 'Late Aircraft (168 min)', 'Carrier (27 min)']"
ADK,1,2,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,3,0,0,1,"['Late Aircraft (103 min)', 'Carrier (0 min)', 'Weather (0 min)']"
ADK,4,0,0,0,['']
ADK,6,3,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,7,1,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,8,3,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,9,1,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,10,1,1,0,"['Carrier (16 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,11,1,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,12,1,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADQ,1,10,4,2,"['Late Aircraft (115 min)', 'Carrier (92 min)', 'NAS (12 min)']"
ADQ,2,8,1,1,"['Late Aircraft (221 min)', 'Weather (45 min)', 'NAS (15 min)']"
ADQ,3,15,4,1,"['Late Aircraft (131 min)', 'NAS (22 min)', 'Carrier (15 min)']"
ADQ,4,13,1,0,"['Carrier (37 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADQ,5,11,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADQ,6,16,2,0,"['Late Aircraft (48 min)', 'Security (25 min)', 'Carrier (0 min)']"
ADQ,7,21,1,2,"['Late Aircraft (420 min)', 'Carrier (100 min)', 'NAS (48 min)']"
ADQ,8,19,1,1,"['Late Aircraft (76 min)', 'Security (41 min)', 'NAS (4 min)']"
ADQ,9,21,0,1,"['Weather (87 min)', 'NAS (22 min)', 'Carrier (0 min)']"
ADQ,10,15,1,1,"['Carrier (130 min)', 'Late Aircraft (56 min)', 'NAS (5 min)']"
ADQ,11,9,1,1,"['Carrier (782 min)', 'Security (38 min)', 'Weather (0 min)']"
ADQ,12,10,3,1,"['Late Aircraft (341 min)', 'NAS (38 min)', 'Carrier (17 min)']"
AEX,1,30,5,3,"['Carrier (514 min)', 'NAS (177 min)', 'Late Aircraft (137 min)']"
AEX,2,25,3,2,"['Carrier (240 min)', 'NAS (68 min)', 'Weather (41 min)']"
AEX,3,47,2,1,"['Carrier (166 min)', 'Weather (60 min)', 'NAS (57 min)']"
AEX,4,20,3,5,"['Carrier (481 min)', 'Weather (412 min)', 'Late Aircraft (105 min)']"
AEX,5,22,5,3,"['Weather (225 min)', 'NAS (140 min)', 'Carrier (279 min)']"
AEX,6,29,2,3,"['Late Aircraft (186 min)', 'NAS (82 min)', 'Weather (57 min)']"
AEX,7,31,4,1,"['Carrier (171 min)', 'NAS (56 min)', 'Weather (16 min)']"
AEX,8,35,2,3,"['Carrier (309 min)', 'Late Aircraft (128 min)', 'NAS (43 min)']"
AEX,9,35,4,4,"['Carrier (400 min)', 'NAS (181 min)', 'Late Aircraft (104 min)']"
AEX,10,36,2,6,"['Carrier (705 min)', 'Late Aircraft (313 min)', 'NAS (22 min)']"
AEX,11,38,3,3,"['Carrier (240 min)', 'Late Aircraft (88 min)', 'NAS (5 min)']"
AEX,12,24,4,1,"['Carrier (477 min)', 'NAS (58 min)', 'Weather (57 min)']"
AGS,1,40,6,15,"['Carrier (853 min)', 'Late Aircraft (728 min)', 'NAS (201 min)']"
AGS,2,50,6,7,"['Carrier (587 min)', 'Weather (521 min)', 'Late Aircraft (48 min)']"
AGS,3,62,4,5,"['Late Aircraft (550 min)', 'Carrier (528 min)', 'NAS (115 min)']"
AGS,4,78,14,4,"['Late Aircraft (564 min)', 'Carrier (262 min)', 'NAS (209 min)']"
AGS,5,63,7,12,"['Carrier (1061 min)', 'Late Aircraft (652 min)', 'Weather (374 min)']"
AGS,6,76,4,4,"['Carrier (369 min)', 'NAS (224 min)', 'Late Aircraft (109 min)']"
AGS,7,65,10,16,"['Late Aircraft (1833 min)', 'NAS (606 min)', 'Weather (464 min)']"
AGS,8,59,11,9,"['Late Aircraft (713 min)', 'Weather (337 min)', 'Carrier (325 min)']"
AGS,9,78,12,5,"['Weather (430 min)', 'Late Aircraft (373 min)', 'Carrier (331 min)']"
AGS,10,79,10,16,"['Late Aircraft (1258 min)', 'Carrier (1120 min)', 'Weather (1065 min)']"
AGS,11,100,8,3,"['Weather (433 min)', 'NAS (336 min)', 'Carrier (106 min)']"
AGS,12,56,9,11,"['Carrier (1358 min)', 'Late Aircraft (358 min)', 'NAS (166 min)']"
AKN,5,2,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
AKN,6,11,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
AKN,7,8,2,0,"['Late Aircraft (50 min)', 'Security (9 min)', 'NAS (7 min)']"
AKN,8,6,1,0,"['Carrier (18 min)', 'Late Aircraft (15 min)', 'NAS (4 min)']"
AKN,9,6,1,0,"['Late Aircraft (19 min)', 'Carrier (0 min)', 'Weather (0 min)']"
ALB,1,149,18,20,"['Late Aircraft (1449 min)', 'NAS (1188 min)', 'Weather (797 min)']"
ALB,2,171,19,11,"['Carrier (881 min)', 'Late Aircraft (672 min)', 'NAS (459 min)']"
ALB,3,191,27,18,"['Late Aircraft (1573 min)', 'Carrier (1234 min)', 'NAS (900 min)']"
ALB,4,180,24,11,"['Carrier (1730 min)', 'Late Aircraft (474 min)', 'NAS (466 min)']"
ALB,5,191,32,17,"['Late Aircraft (1231 min)', 'Carrier (844 min)', 'NAS (610 min)']"
ALB,6,189,31,18,"['Late Aircraft (1557 min)', 'Carrier (1072 min)', 'NAS (395 min)']"
ALB,7,186,45,34,"['Late Aircraft (3236 min)', 'Carrier (1760 min)', 'NAS (1608 min)']"
ALB,8,210,30,28,"['Carrier (3058 min)', 'Late Aircraft (1538 min)', 'NAS (1136 min)']"
ALB,9,208,20,8,"['Carrier (1884 min)', 'Late Aircraft (472 min)', 'NAS (354 min)']"
ALB,10,214,28,8,"['Carrier (1300 min)', 'Late Aircraft (659 min)', 'Weather (120 min)']"
ALB,11,206,15,6,"['Late Aircraft (622 min)', 'Carrier (515 min)', 'NAS (185 min)']"
ALB,12,164,33,24,"['Carrier (2481 min)', 'Late Aircraft (1683 min)', 'NAS (427 min)']"
ALW,1,8,0,0,"['Carrier (50 min)', 'Weather (0 min)', 'NAS (0 min)']"
ALW,2,13,0,0,"['NAS (35 min)', 'Carrier (0 min)', 'Weather (0 min)']"
ALW,3,21,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ALW,4,17,0,1,"['Late Aircraft (74 min)', 'Carrier (0 min)', 'Weather (0 min)']"
ALW,5,11,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ALW,6,12,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ALW,7,5,3,0,"['Late Aircraft (40 min)', 'Carrier (37 min)', 'NAS (24 min)']"
ALW,8,11,3,1,"['Late Aircraft (181 min)', 'NAS (21 min)', 'Carrier (0 min)']"
ALW,9,17,1,1,"['Carrier (95 min)', 'Late Aircraft (52 min)', 'Weather (0 min)']"
AMA,1,78,10,8,"['Late Aircraft (1298 min)', 'NAS (383 min)', 'Carrier (34 min)']"
AMA,2,92,7,1,"['NAS (229 min)', 'Carrier (114 min)', 'Weather (62 min)']"
AMA,3,73,7,6,"['Carrier (424 min)', 'NAS (339 min)', 'Late Aircraft (323 min)']"
AMA,4,75,6,8,"['Late Aircraft (903 min)', 'NAS (521 min)', 'Carrier (179 min)']"
AMA,5,73,21,17,"['Late Aircraft (1050 min)', 'NAS (686 min)', 'Weather (642 min)']"
AMA,6,97,19,8,"['Late Aircraft (900 min)', 'Weather (503 min)', 'NAS (362 min)']"
AMA,7,100,15,6,"['Carrier (876 min)', 'Late Aircraft (817 min)', 'NAS (272 min)']"
AMA,8,110,10,9,"['Carrier (863 min)', 'NAS (381 min)', 'Late Aircraft (258 min)']"
AMA,9,85,7,9,"['Carrier (754 min)', 'Late Aircraft (503 min)', 'NAS (252 min)']"
AMA,10,122,12,6,"['Late Aircraft (600 min)', 'Carrier (518 min)', 'NAS (14 min)']"
AMA,11,94,10,3,"['NAS (351 min)', 'Late Aircraft (300 min)', 'Carrier (152 min)']"
AMA,12,82,8,9,"['Late Aircraft (794 min)', 'Carrier (405 min)', 'NAS (368 min)']"
ANC,1,179,43,35,"['Carrier (2649 min)', 'Late Aircraft (1773 min)', 'NAS (882 min)']"
ANC,2,226,24,9,"['Carrier (2322 min)', 'Late Aircraft (487 min)', 'NAS (379 min)']"
ANC,3,222,46,19,"['Late Aircraft (1398 min)', 'Carrier (1132 min)', 'NAS (381 min)']"
ANC,4,249,37,21,"['Late Aircraft (1338 min)', 'Carrier (1313 min)', 'Weather (528 min)']"
ANC,5,335,47,11,"['Carrier (2090 min)', 'Late Aircraft (811 min)', 'NAS (266 min)']"
ANC,6,432,68,16,"['Late Aircraft (1708 min)', 'Carrier (1234 min)', 'NAS (859 min)']"
ANC,7,456,101,34,"['Carrier (5327 min)', 'Late Aircraft (3162 min)', 'NAS (1367 min)']"
ANC,8,397,89,21,"['Carrier (4265 min)', 'Late Aircraft (2397 min)', 'NAS (570 min)']"
ANC,9,375,44,12,"['Late Aircraft (902 min)', 'Carrier (713 min)', 'NAS (494 min)']"
ANC,10,289,20,14,"['Weather (995 min)', 'Carrier (744 min)', 'NAS (721 min)']"
ANC,11,217,33,7,"['Carrier (725 min)', 'Late Aircraft (504 min)', 'NAS (295 min)']"
ANC,12,217,43,9,"['Carrier (1097 min)', 'Late Aircraft (791 min)', 'NAS (341 min)']"
APN,1,3,0,0,"['NAS (30 min)', 'Weather (8 min)', 'Carrier (0 min)']"
APN,2,11,1,1,"['Weather (139 min)', 'NAS (55 min)', 'Carrier (0 min)']"
APN,3,14,1,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
APN,4,4,1,0,"['Carrier (38 min)', 'NAS (4 min)', 'Weather (0 min)']"
APN,5,12,3,2,"['Weather (273 min)', 'Carrier (112 min)', 'NAS (20 min)']"
APN,6,8,0,4,"['Carrier (724 min)', 'Weather (571 min)', 'NAS (0 min)']"
APN,7,11,2,1,"['Carrier (309 min)', 'NAS (2 min)', 'Weather (0 min)']"
APN,8,9,0,4,"['Carrier (437 min)', 'NAS (4 min)', 'Weather (0 min)']"
APN,9,13,0,1,"['Carrier (124 min)', 'Weather (0 min)', 'NAS (0 min)']"
APN,10,13,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
APN,11,13,2,0,"['Carrier (60 min)', 'NAS (32 min)', 'Weather (0 min)']"
APN,12,4,4,1,"['Carrier (211 min)', 'NAS (15 min)', 'Weather (0 min)']"
ASE,1,122,55,25,"['Weather (2039 min)', 'Late Aircraft (1279 min)', 'NAS (937 min)']"
ASE,2,87,43,34,"['NAS (1887 min)', 'Late Aircraft (1341 min)', 'Carrier (1240 min)']"
ASE,3,113,64,41,"['Weather (5166 min)', 'Late Aircraft (3205 min)', 'Carrier (1762 min)']"
ASE,4,83,13,9,"['Carrier (1233 min)', 'Late Aircraft (178 min)', 'NAS (162 min)']"
ASE,5,28,6,12,"['Carrier (1196 min)', 'Late Aircraft (842 min)', 'Weather (129 min)']"
ASE,6,108,23,18,"['Carrier (1589 min)', 'Weather (862 min)', 'Late Aircraft (385 min)']"
ASE,7,125,22,13,"['Carrier (1151 min)', 'Late Aircraft (1141 min)', 'NAS (566 min)']"
ASE,8,121,17,14,"['NAS (890 min)', 'Carrier (828 min)', 'Late Aircraft (463 min)']"
ASE,9,100,8,24,"['Weather (1333 min)', 'Carrier (1277 min)', 'Late Aircraft (1195 min)']"
ASE,10,116,12,7,"['Carrier (1140 min)', 'Late Aircraft (340 min)', 'NAS (52 min)']"
ASE,11,52,8,8,"['Late Aircraft (1049 min)', 'Carrier (374 min)', 'Weather (259 min)']"
ASE,12,98,28,45,"['Carrier (3398 min)', 'Weather (1917 min)', 'NAS (1641 min)']"
ATL,1,5055,969,424,"['Carrier (37677 min)', 'Late Aircraft (26111 min)', 'NAS (15249 min)']"
ATL,2,5384,564,176,"['Carrier (21391 min)', 'NAS (9527 min)', 'Late Aircraft (8198 min)']"
ATL,3,5671,956,352,"['Carrier (33610 min)', 'Late Aircraft (19027 min)', 'NAS (17149 min)']"
ATL,4,5815,908,357,"['Carrier (33339 min)', 'Late Aircraft (21210 min)', 'NAS (18785 min)']"
ATL,5,5600,1219,686,"['Late Aircraft (52461 min)', 'Carrier (48832 min)', 'NAS (32034 min)']"
ATL,6,5795,1114,444,"['Carrier (43156 min)', 'Late Aircraft (23971 min)', 'NAS (18762 min)']"
ATL,7,4512,1375,1165,"['Carrier (122216 min)', 'Late Aircraft (66627 min)', 'NAS (30513 min)']"
ATL,8,5780,1027,478,"['Carrier (42229 min)', 'Late Aircraft (26824 min)', 'NAS (22938 min)']"
ATL,9,5825,806,289,"['Carrier (30707 min)', 'Late Aircraft (18341 min)', 'NAS (9684 min)']"
ATL,10,6492,716,181,"['Carrier (22343 min)', 'Late Aircraft (10071 min)', 'NAS (5450 min)']"
ATL,11,6080,696,226,"['Carrier (22055 min)', 'Late Aircraft (12679 min)', 'NAS (11017 min)']"
ATL,12,5609,1196,501,"['Carrier (42126 min)', 'Late Aircraft (32449 min)', 'NAS (15094 min)']"
ATW,1,73,12,17,"['Weather (1908 min)', 'Carrier (1801 min)', 'NAS (415 min)']"
ATW,2,70,4,9,"['Carrier (1435 min)', 'Weather (485 min)', 'Late Aircraft (330 min)']"
ATW,3,99,16,7,"['Carrier (677 min)', 'NAS (565 min)', 'Late Aircraft (414 min)']"
ATW,4,98,13,11,"['Carrier (2628 min)', 'Late Aircraft (1631 min)', 'Weather (692 min)']"
ATW,5,101,10,13,"['Carrier (949 min)', 'Late Aircraft (665 min)', 'NAS (586 min)']"
ATW,6,85,12,8,"['Carrier (1592 min)', 'Late Aircraft (532 min)', 'NAS (372 min)']"
ATW,7,103,16,9,"['Carrier (1646 min)', 'Late Aircraft (363 min)', 'NAS (328 min)']"
ATW,8,114,9,10,"['Carrier (1520 min)', 'NAS (405 min)', 'Weather (326 min)']"
ATW,9,107,18,14,"['Carrier (1574 min)', 'Late Aircraft (528 min)', 'NAS (251 min)']"
ATW,10,124,5,13,"['Carrier (1219 min)', 'Late Aircraft (932 min)', 'NAS (47 min)']"
ATW,11,115,11,14,"['Weather (1476 min)', 'Carrier (838 min)', 'Late Aircraft (454 min)']"
ATW,12,108,12,11,"['Carrier (1356 min)', 'Late Aircraft (524 min)', 'NAS (297 min)']"
AUS,1,1171,289,129,"['Late Aircraft (14022 min)', 'Carrier (8405 min)', 'NAS (5444 min)']"
AUS,2,1200,134,53,"['Late Aircraft (3928 min)', 'Carrier (3181 min)', 'NAS (3179 min)']"
AUS,3,1369,291,125,"['Late Aircraft (10882 min)', 'Carrier (7349 min)', 'NAS (5144 min)']"
AUS,4,1346,301,129,"['Late Aircraft (13303 min)', 'Carrier (5287 min)', 'NAS (4854 min)']"
AUS,5,1238,404,272,"['Late Aircraft (24131 min)', 'Carrier (16779 min)', 'NAS (10132 min)']"
